iter	Passed	Remaining
741	1346	468
742	1348	466
743	1349	464
744	1351	462
745	1352	460
746	1354	458
747	1355	456
748	1357	454
749	1359	453
750	1361	451
751	1362	449
752	1364	447
753	1366	445
754	1367	443
755	1369	442
756	1371	440
757	1372	438
758	1374	436
759	1375	434
760	1377	432
761	1378	430
762	1380	428
763	1381	426
764	1383	425
765	1385	423
766	1386	421
767	1388	419
768	1389	417
769	1391	415
770	1392	413
771	1394	411
772	1395	409
773	1397	408
774	1398	406
775	1400	404
776	1401	402
777	1403	400
778	1404	398
779	1406	396
780	1407	394
781	1409	392
782	1410	391
783	1412	389
784	1413	387
785	1415	385
786	1416	383
787	1418	381
788	1419	379
789	1421	377
790	1422	375
791	1424	374
792	1425	372
793	1427	370
794	1428	368
795	1430	366
796	1431	364
797	1433	362
798	1434	360
799	1436	359
800	1437	357
801	1439	355
802	1440	353
803	1442	351
804	1443	349
805	1445	347
806	1446	346
807	1448	344
808	1449	342
809	1451	340
810	1453	338
811	1454	336
812	1456	334
813	1458	333
814	1459	331
815	1461	329
816	1462	327
817	1464	325
818	1465	323
819	1467	322
820	1468	320
821	1470	318
822	1471	316
823	1473	314
824	1474	312
825	1476	310
826	1477	309
827	1479	307
828	1480	305
829	1482	303
830	1484	301
831	1486	300
832	1487	298
833	1488	296
834	1490	294
835	1492	292
836	1493	290
837	1495	289
838	1496	287
839	1498	285
840	1499	283
841	1501	281
842	1502	279
843	1504	278
844	1506	276
845	1507	274
846	1508	272
847	1510	270
848	1512	268
849	1513	267
850	1515	265
851	1516	263
852	1518	261
853	1519	259
854	1521	257
855	1522	256
856	1524	254
857	1526	252
858	1527	250
859	1529	249
860	1531	247
861	1533	245
862	1534	243
863	1535	241
864	1537	239
865	1539	238
866	1540	236
867	1542	234
868	1543	232
869	1545	230
870	1546	229
871	1548	227
872	1549	225
873	1551	223
874	1552	221
875	1554	219
876	1555	218
877	1557	216
878	1558	214
879	1560	212
880	1561	210
881	1563	209
882	1564	207
883	1566	205
884	1567	203
885	1569	201
886	1570	200
887	1572	198
888	1573	196
889	1575	194
890	1576	192
891	1578	191
892	1580	189
893	1581	187
894	1582	185
895	1584	183
896	1586	182
897	1588	180
898	1589	178
899	1591	176
900	1593	175
901	1594	173
902	1595	171
903	1597	169
904	1598	167
905	1600	166
906	1602	164
907	1603	162
908	1605	160
909	1606	158
910	1608	157
911	1609	155
912	1611	153
913	1612	151
914	1614	149
915	1615	148
916	1617	146
917	1619	144
918	1620	142
919	1621	141
920	1623	139
921	1624	137
922	1626	135
923	1627	133
924	1629	132
925	1630	130
926	1632	128
927	1634	126
928	1635	125
929	1637	123
930	1638	121
931	1640	119
932	1641	117
933	1643	116
934	1644	114
935	1646	112
936	1647	110
937	1649	109
938	1650	107
939	1652	105
940	1653	103
941	1655	101
942	1656	100
943	1658	98
944	1659	96
945	1661	94
946	1663	93
947	1664	91
948	1666	89
949	1667	87
950	1669	85
951	1670	84
952	1671	82
953	1673	80
954	1674	78
955	1676	77
956	1678	75
957	1680	73
958	1681	71
959	1683	70
960	1685	68
961	1686	66
962	1688	64
963	1690	63
964	1691	61
965	1693	59
966	1694	57
967	1696	56
968	1697	54
969	1699	52
970	1701	50
971	1702	49
972	1703	47
973	1705	45
974	1707	43
975	1708	42
976	1710	40
977	1711	38
978	1713	36
979	1715	35
980	1716	33
981	1717	31
982	1719	29
983	1721	27
984	1722	26
985	1724	24
986	1725	22
987	1727	20
988	1728	19
989	1730	17
990	1731	15
991	1733	13
992	1734	12
993	1736	10
994	1737	8
995	1739	6
996	1740	5
997	1742	3
998	1743	1
999	1745	0
